store_id,ds,type,value,model
Store_001,2021-01-01,history,5540987.92,Holt-Winters
Store_001,2021-02-01,history,4360792.51,Holt-Winters
Store_001,2021-03-01,history,5338724.76,Holt-Winters
Store_001,2021-04-01,history,5367530.85,Holt-Winters
Store_001,2021-05-01,history,6105777.23,Holt-Winters
Store_001,2021-06-01,history,5858271.86,Holt-Winters
Store_001,2021-07-01,history,6037470.26,Holt-Winters
Store_001,2021-08-01,history,5872670.0,Holt-Winters
Store_001,2021-09-01,history,5814544.899999999,Holt-Winters
Store_001,2021-10-01,history,7159011.85,Holt-Winters
Store_001,2021-11-01,history,7255907.22,Holt-Winters
Store_001,2021-12-01,history,8840196.59,Holt-Winters
Store_001,2022-01-01,history,5781147.78,Holt-Winters
Store_001,2022-02-01,history,4452147.12,Holt-Winters
Store_001,2022-03-01,history,5202313.79,Holt-Winters
Store_001,2022-04-01,history,5636867.67,Holt-Winters
Store_001,2022-05-01,history,5902203.38,Holt-Winters
Store_001,2022-06-01,history,5729471.62,Holt-Winters
Store_001,2022-07-01,history,5909720.5,Holt-Winters
Store_001,2022-08-01,history,5712478.78,Holt-Winters
Store_001,2022-09-01,history,5868917.28,Holt-Winters
Store_001,2022-10-01,history,6967645.85,Holt-Winters
Store_001,2022-11-01,history,7223785.57,Holt-Winters
Store_001,2022-12-01,history,8691329.73,Holt-Winters
Store_001,2023-01-01,history,5808551.34,Holt-Winters
Store_001,2023-02-01,history,4276046.04,Holt-Winters
Store_001,2023-03-01,history,5295128.83,Holt-Winters
Store_001,2023-04-01,history,5732778.08,Holt-Winters
Store_001,2023-05-01,history,5727331.19,Holt-Winters
Store_001,2023-06-01,history,5702938.7,Holt-Winters
Store_001,2023-07-01,history,5991912.609999999,Holt-Winters
Store_001,2023-08-01,history,5838943.43,Holt-Winters
Store_001,2023-09-01,history,6096699.0,Holt-Winters
Store_001,2023-10-01,history,6910037.54,Holt-Winters
Store_001,2023-11-01,history,7132896.31,Holt-Winters
Store_001,2023-12-01,history,8997956.35,Holt-Winters
Store_001,2024-01-01,history,5666287.29,Holt-Winters
Store_001,2024-02-01,history,4596898.07,Holt-Winters
Store_001,2024-03-01,history,5538633.48,Holt-Winters
Store_001,2024-04-01,history,5625296.09,Holt-Winters
Store_001,2024-05-01,history,5909213.91,Holt-Winters
Store_001,2024-06-01,history,5985901.23,Holt-Winters
Store_001,2024-07-01,history,5638716.29,Holt-Winters
Store_001,2024-08-01,history,5848153.06,Holt-Winters
Store_001,2024-09-01,history,5821888.85,Holt-Winters
Store_001,2024-10-01,history,6674822.8100000005,Holt-Winters
Store_001,2024-11-01,history,7340334.22,Holt-Winters
Store_001,2024-12-01,history,8951816.83,Holt-Winters
Store_001,2024-01-01,actual,5666287.29,Holt-Winters
Store_001,2024-01-01,predicted,5787365.14,Holt-Winters
Store_001,2024-02-01,actual,4596898.07,Holt-Winters
Store_001,2024-02-01,predicted,4370653.43,Holt-Winters
Store_001,2024-03-01,actual,5538633.48,Holt-Winters
Store_001,2024-03-01,predicted,5255564.98,Holt-Winters
Store_001,2024-04-01,actual,5625296.09,Holt-Winters
Store_001,2024-04-01,predicted,5671107.27,Holt-Winters
Store_001,2024-05-01,actual,5909213.91,Holt-Winters
Store_001,2024-05-01,predicted,5837915.63,Holt-Winters
Store_001,2024-06-01,actual,5985901.23,Holt-Winters
Store_001,2024-06-01,predicted,5731374.3,Holt-Winters
Store_001,2024-07-01,actual,5638716.29,Holt-Winters
Store_001,2024-07-01,predicted,5973737.92,Holt-Winters
Store_001,2024-08-01,actual,5848153.06,Holt-Winters
Store_001,2024-08-01,predicted,5791358.83,Holt-Winters
Store_001,2024-09-01,actual,5821888.85,Holt-Winters
Store_001,2024-09-01,predicted,5852759.02,Holt-Winters
Store_001,2024-10-01,actual,6674822.81,Holt-Winters
Store_001,2024-10-01,predicted,7049228.79,Holt-Winters
Store_001,2024-11-01,actual,7340334.22,Holt-Winters
Store_001,2024-11-01,predicted,7227581.33,Holt-Winters
Store_001,2024-12-01,actual,8951816.83,Holt-Winters
Store_001,2024-12-01,predicted,8779213.01,Holt-Winters
Store_001,2025-01-01,forecast,5786128.43,Holt-Winters
Store_001,2025-02-01,forecast,4369514.13,Holt-Winters
Store_001,2025-03-01,forecast,5254515.42,Holt-Winters
Store_001,2025-04-01,forecast,5670140.37,Holt-Winters
Store_001,2025-05-01,forecast,5837024.89,Holt-Winters
Store_001,2025-06-01,forecast,5730553.71,Holt-Winters
Store_002,2021-01-01,history,4873313.260000001,Prophet
Store_002,2021-02-01,history,3778719.83,Prophet
Store_002,2021-03-01,history,4616350.470000001,Prophet
